,ts,task,empid,sec
89,2023-07-27 15:49:22,0,0,0
88,2023-07-27 15:56:43,0,4,827
87,2023-07-27 15:56:43,4,4,0
86,2023-07-27 15:56:47,4,4,3
85,2023-07-27 15:56:51,4,4,4
84,2023-07-27 15:56:54,4,4,3
83,2023-07-27 16:12:41,3,5,3573
82,2023-07-27 16:13:19,4,4,980
81,2023-07-27 16:14:55,3,5,133
80,2023-07-27 16:23:14,3,5,495
79,2023-07-27 16:23:16,3,5,2
78,2023-07-27 16:23:17,3,5,1
77,2023-07-27 16:23:18,3,5,1
76,2023-07-27 16:23:18,3,5,0
75,2023-07-27 16:23:19,3,5,1
74,2023-07-27 16:23:20,3,5,1
73,2023-07-27 16:23:21,3,5,1
72,2023-07-27 16:23:21,3,5,0
71,2023-07-27 16:23:22,3,5,1
70,2023-07-27 16:23:22,3,5,0
69,2023-07-27 16:23:23,3,5,1
68,2023-07-27 16:23:23,3,5,0
67,2023-07-27 16:23:24,3,5,1
66,2023-07-27 16:23:24,3,5,0
65,2023-07-27 16:23:25,3,5,0
64,2023-07-27 16:23:25,3,5,1
63,2023-07-27 16:23:25,3,5,0
62,2023-07-27 16:23:26,3,5,1
61,2023-07-27 16:23:26,3,5,0
60,2023-07-27 16:23:26,3,5,0
59,2023-07-27 16:23:26,3,5,0
58,2023-07-27 16:23:26,3,5,0
57,2023-07-27 16:23:27,3,5,1
56,2023-07-27 16:23:27,3,5,0
55,2023-07-27 16:23:27,3,5,0
54,2023-07-27 16:23:27,3,5,0
53,2023-07-27 16:23:28,3,5,1
52,2023-07-27 16:23:28,3,5,0
51,2023-07-27 16:23:28,3,5,0
50,2023-07-27 16:23:29,3,5,1
49,2023-07-27 16:23:29,3,5,0
48,2023-07-27 16:23:29,3,5,0
47,2023-07-27 16:23:30,3,5,0
46,2023-07-27 16:23:30,3,5,1
45,2023-07-27 16:23:30,3,5,0
44,2023-07-27 16:23:32,3,5,1
43,2023-07-27 16:23:32,3,5,0
42,2023-07-27 16:23:32,3,5,0
41,2023-07-27 16:25:45,0,0,6
40,2023-07-27 16:25:45,4,0,0
39,2023-07-27 16:26:43,3,5,114
38,2023-07-27 16:30:58,4,0,311
37,2023-07-27 16:30:59,4,0,2
36,2023-07-27 16:31:01,4,0,1
35,2023-07-27 16:56:31,0,,
34,2023-07-27 16:56:50,0,5,18
33,2023-07-27 16:56:50,2,5,0
32,2023-07-27 16:56:54,2,5,4
31,2023-07-27 16:57:13,2,5,18
30,2023-07-27 16:57:14,2,5,1
29,2023-07-27 16:57:15,2,5,1
28,2023-07-27 16:57:19,2,5,5
27,2023-07-27 17:11:56,2,5,870
26,2023-07-27 17:11:58,0,,
25,2023-07-27 17:24:31,0,0,0
24,2023-07-27 17:24:45,0,0,0
23,2023-07-27 17:32:09,0,0,0
22,2023-07-27 17:33:21,0,0,0
21,2023-07-27 17:33:35,0,0,14
20,2023-07-27 17:33:35,4,0,0
19,2023-07-27 17:33:37,4,0,1
18,2023-07-27 17:33:39,4,0,3
17,2023-07-27 17:37:34,0,0,0
16,2023-07-27 17:38:47,0,0,66
15,2023-07-27 17:38:47,4,0,0
14,2023-07-27 17:38:50,4,0,3
13,2023-07-27 17:38:53,4,0,2
12,2023-07-27 17:38:54,4,0,2
11,2023-07-27 17:38:55,4,0,1
10,2023-07-27 17:38:56,4,0,1
9,2023-07-27 17:38:57,4,0,0
8,2023-07-27 17:38:58,4,0,1
7,2023-07-27 17:39:58,0,0,0
6,2023-07-27 17:40:24,0,0,24
5,2023-07-27 17:40:24,4,0,0
4,2023-07-27 17:40:28,4,0,3
3,2023-07-27 17:40:31,4,0,3
2,2023-07-27 17:40:34,4,0,3
1,2023-07-27 17:40:35,4,0,2
0,2023-07-27 17:48:51,0,5,1967
