Stamp,Model,Status
2023-09-25 16:57:11,SPT120018W,OK
2023-09-25 16:58:25,SPT120018W,OK
2023-09-25 16:59:16,SPT120018W,OK
2023-09-25 17:03:00,SPT120018W,OK
2023-09-25 17:03:48,SPT120018W,OK
2023-09-25 17:04:36,SPT120018W,KO
2023-09-25 17:05:14,SPT120018W,OK
2023-09-25 17:06:01,SPT120018W,KO
2023-09-25 17:06:39,SPT120018W,OK
2023-09-25 17:07:28,SPT120018W,OK
2023-09-25 17:08:24,SPT120018W,OK
2023-09-25 17:09:28,SPT120018W,OK
2023-09-25 17:11:20,SPT120018W,KO
2023-09-25 17:12:00,SPT120018W,OK
2023-09-25 17:13:02,SPT120018W,OK
2023-09-25 17:13:53,SPT120018W,OK
2023-09-25 17:14:57,SPT120018W,OK
2023-09-25 17:17:06,SPT120018W,OK
2023-09-25 17:18:26,SPT120018W,OK
2023-09-25 17:19:36,SPT120018W,OK
2023-09-25 17:21:27,SPT120018W,OK
2023-09-25 17:22:19,SPT120018W,OK
2023-09-25 17:23:50,SPT120018W,OK
2023-09-25 17:25:24,SPT120018W,KO
2023-09-25 17:26:02,SPT120018W,OK
2023-09-25 17:26:54,SPT120018W,KO
2023-09-25 17:28:11,SPT120018W,OK
2023-09-25 17:29:03,SPT120018W,OK
2023-09-25 17:30:10,SPT120018W,OK
2023-09-25 17:31:28,SPT120018W,OK
2023-09-25 17:32:49,SPT120018W,OK
2023-09-25 17:34:22,SPT120018W,OK
2023-09-25 17:35:44,SPT120018W,OK
2023-09-25 17:37:10,SPT120018W,OK
2023-09-25 17:38:42,SPT120018W,OK
2023-09-25 17:40:04,SPT120018W,OK
2023-09-25 17:41:18,SPT120018W,OK
2023-09-25 17:42:51,SPT120018W,KO
2023-09-25 17:43:57,SPT120018W,KO
2023-09-25 17:45:03,SPT120018W,OK
2023-09-25 17:46:27,SPT120018W,OK
2023-09-25 17:47:20,SPT120018W,OK
2023-09-25 17:48:14,SPT120018W,OK
2023-09-25 17:49:04,SPT120018W,OK
2023-09-25 17:50:19,SPT120018W,OK
2023-09-25 17:51:28,SPT120018W,OK
2023-09-25 17:53:00,SPT120018W,KO
2023-09-25 17:53:36,SPT120018W,OK
2023-09-25 17:54:54,SPT120018W,OK
2023-09-25 17:55:54,SPT120018W,OK
2023-09-25 17:57:00,SPT120018W,OK
