ts,task,empid,sec
2023-07-27 12:39:54,2,5.0,9.0
2023-07-27 12:39:59,2,5.0,4.0
2023-07-27 12:40:05,2,5.0,5.0
2023-07-27 12:40:09,2,5.0,5.0
2023-07-27 12:40:15,0,,
2023-07-27 12:40:18,0,5.0,4.0
2023-07-27 12:40:34,0,0.0,4.0
2023-07-27 12:40:39,0,,
2023-07-27 12:40:46,0,0.0,13.0
2023-07-27 12:40:55,1,0.0,8.0
2023-07-27 12:41:02,1,0.0,7.0
2023-07-27 12:41:13,1,0.0,11.0
2023-07-27 12:41:19,1,0.0,6.0
2023-07-27 12:41:26,1,0.0,7.0
2023-07-27 12:41:33,1,0.0,7.0
2023-07-27 12:41:40,1,0.0,7.0
2023-07-27 12:42:00,1,0.0,20.0
2023-07-27 12:42:06,1,0.0,6.0
2023-07-27 12:42:15,1,0.0,8.0
2023-07-27 12:42:35,0,,
2023-07-27 12:42:44,0,5.0,14.0
2023-07-27 12:42:54,1,5.0,10.0
2023-07-27 12:43:06,1,5.0,11.0
2023-07-27 12:43:12,1,5.0,7.0
2023-07-27 12:43:40,0,,
2023-07-27 12:44:32,0,0.0,48.0
2023-07-27 12:48:47,1,0.0,250.0
2023-07-27 12:48:49,0,,
2023-07-27 12:48:54,0,0.0,6.0
2023-07-27 12:49:06,1,0.0,12.0
2023-07-27 12:49:50,1,0.0,43.0
2023-07-27 12:50:01,1,0.0,9.0
2023-07-27 12:50:02,1,0.0,3.0
2023-07-27 12:50:11,1,0.0,9.0
2023-07-27 12:51:43,1,0.0,91.0
2023-07-27 12:52:22,1,0.0,39.0
2023-07-27 12:52:25,1,0.0,3.0
2023-07-27 12:55:08,1,0.0,158.0
2023-07-27 12:55:18,1,0.0,9.0
2023-07-27 12:59:08,0,4.0,117.0
2023-07-27 12:59:11,1,4.0,2.0
2023-07-27 13:29:22,1,0.0,2018.0
2023-07-27 13:31:28,1,4.0,1878.0
2023-07-27 13:31:45,1,4.0,16.0
2023-07-27 13:31:49,1,4.0,4.0
2023-07-27 13:31:54,1,0.0,148.0
2023-07-27 13:31:57,1,0.0,3.0
2023-07-27 13:32:08,1,4.0,18.0
2023-07-27 13:32:11,1,4.0,3.0
2023-07-27 13:32:13,1,4.0,2.0
2023-07-27 13:33:23,1,4.0,69.0
2023-07-27 13:34:05,1,4.0,41.0
2023-07-27 13:34:09,1,4.0,4.0
2023-07-27 13:34:13,1,4.0,4.0
2023-07-27 13:34:17,1,4.0,4.0
2023-07-27 13:34:34,0,4.0,13.0
2023-07-27 13:37:11,1,4.0,153.0
2023-07-27 13:38:48,1,4.0,94.0
2023-07-27 13:38:51,1,4.0,3.0
2023-07-27 13:39:27,1,4.0,35.0
2023-07-27 13:39:30,1,4.0,3.0
2023-07-27 13:40:22,0,4.0,38.0
2023-07-27 13:41:42,0,4.0,62.0
2023-07-27 13:41:55,0,,
2023-07-27 13:51:05,0,4.0,491.0
2023-07-27 13:55:21,1,0.0,1384.0
2023-07-27 13:55:29,1,0.0,8.0
2023-07-27 13:55:32,1,0.0,1.0
2023-07-27 13:55:32,1,0.0,2.0
2023-07-27 13:55:34,1,0.0,1.0
2023-07-27 13:55:35,1,0.0,2.0
2023-07-27 13:55:45,1,0.0,9.0
2023-07-27 13:55:47,1,0.0,3.0
2023-07-27 13:55:54,1,0.0,7.0
2023-07-27 14:04:15,3,4.0,769.0
2023-07-27 14:37:16,1,0.0,2449.0
2023-07-27 14:37:18,1,0.0,2.0
2023-07-27 14:37:19,1,0.0,1.0
2023-07-27 14:37:20,1,0.0,1.0
2023-07-27 14:37:28,1,0.0,8.0
2023-07-27 14:37:29,1,0.0,1.0
2023-07-27 14:37:30,1,0.0,1.0
2023-07-27 14:37:31,1,0.0,1.0
2023-07-27 14:37:32,1,0.0,1.0
2023-07-27 14:37:33,1,0.0,1.0
2023-07-27 14:37:34,1,0.0,1.0
2023-07-27 14:37:36,1,0.0,1.0
2023-07-27 14:37:36,1,0.0,1.0
2023-07-27 14:41:21,0,,
2023-07-27 14:41:26,0,0.0,7.0
2023-07-27 14:41:34,0,,
2023-07-27 14:42:09,0,5.0,59.0
2023-07-27 14:42:16,3,5.0,7.0
2023-07-27 14:42:34,3,5.0,18.0
2023-07-27 14:42:38,3,5.0,3.0
2023-07-27 15:16:01,0,4.0,2033.0
2023-07-27 15:16:02,0,,
2023-07-27 15:17:14,0,4.0,64.0
2023-07-27 15:17:18,4,4.0,4.0
2023-07-27 15:17:21,4,4.0,3.0
2023-07-27 15:17:33,4,4.0,11.0
2023-07-27 15:17:42,0,,
2023-07-27 15:56:43,0,4.0,827.0
2023-07-27 15:56:47,4,4.0,3.0
2023-07-27 15:56:51,4,4.0,4.0
2023-07-27 15:56:54,4,4.0,3.0
2023-07-27 16:12:41,3,5.0,3573.0
2023-07-27 16:13:19,4,4.0,980.0
2023-07-27 16:14:55,3,5.0,133.0
2023-07-27 16:23:14,3,5.0,495.0
2023-07-27 16:23:16,3,5.0,2.0
2023-07-27 16:23:17,3,5.0,1.0
2023-07-27 16:23:18,3,5.0,1.0
2023-07-27 16:23:19,3,5.0,1.0
2023-07-27 16:23:20,3,5.0,1.0
2023-07-27 16:23:21,3,5.0,1.0
2023-07-27 16:23:22,3,5.0,1.0
2023-07-27 16:23:23,3,5.0,1.0
2023-07-27 16:23:24,3,5.0,1.0
2023-07-27 16:23:25,3,5.0,1.0
2023-07-27 16:23:26,3,5.0,1.0
2023-07-27 16:23:27,3,5.0,1.0
2023-07-27 16:23:28,3,5.0,1.0
2023-07-27 16:23:29,3,5.0,1.0
2023-07-27 16:23:30,3,5.0,1.0
2023-07-27 16:23:32,3,5.0,1.0
2023-07-27 16:25:45,0,0.0,6.0
2023-07-27 16:26:43,3,5.0,114.0
2023-07-27 16:30:58,4,0.0,311.0
2023-07-27 16:30:59,4,0.0,2.0
2023-07-27 16:31:01,4,0.0,1.0
2023-07-27 16:56:31,0,,
2023-07-27 16:56:50,0,5.0,18.0
2023-07-27 16:56:54,2,5.0,4.0
2023-07-27 16:57:13,2,5.0,18.0
2023-07-27 16:57:14,2,5.0,1.0
2023-07-27 16:57:15,2,5.0,1.0
2023-07-27 16:57:19,2,5.0,5.0
2023-07-27 17:11:56,2,5.0,870.0
2023-07-27 17:11:58,0,,
2023-07-27 17:33:35,0,0.0,14.0
2023-07-27 17:33:37,4,0.0,1.0
2023-07-27 17:33:39,4,0.0,3.0
2023-07-27 17:38:47,0,0.0,66.0
2023-07-27 17:38:50,4,0.0,3.0
2023-07-27 17:38:53,4,0.0,2.0
2023-07-27 17:38:54,4,0.0,2.0
2023-07-27 17:38:55,4,0.0,1.0
2023-07-27 17:38:56,4,0.0,1.0
2023-07-27 17:38:58,4,0.0,1.0
2023-07-27 17:40:24,0,0.0,24.0
2023-07-27 17:40:28,4,0.0,3.0
2023-07-27 17:40:31,4,0.0,3.0
2023-07-27 17:40:34,4,0.0,3.0
2023-07-27 17:40:35,4,0.0,2.0
2023-07-27 17:48:51,0,5.0,1967.0
