Stamp,Agent,Model,Nquadro
2023-09-26 11:44:27,T012,SPT120018W,202301000127919
2023-09-26 11:45:04,T012,SPT120018W,202301000127919
2023-09-26 11:45:28,T013,SPT120018W,202302000080046
2023-09-26 11:45:49,T012,SPT120018W,202301000127920
2023-09-26 11:47:00,T012,SPT120018W,202301000127921
2023-09-26 11:47:13,T013,SPT120018W,202302000080047
2023-09-26 11:48:06,T012,SPT120018W,202301000127922
2023-09-26 11:49:19,T012,SPT120018W,202301000127923
2023-09-26 11:49:24,T013,SPT120018W,202302000080048
2023-09-26 11:50:24,T012,SPT120018W,202301000127924
2023-09-26 11:50:56,T013,SPT120018W,202302000080049
2023-09-26 11:51:36,T013,SPT120018W,202302000080049
2023-09-26 11:52:55,T013,SPT120018W,202302000080050
2023-09-26 11:53:23,T012,SPT120018W,202301000127925
2023-09-26 11:54:07,T013,SPT120018W,202302000080051
2023-09-26 11:54:08,T012,SPT120018W,202301000127926
2023-09-26 11:54:44,T012,SPT120018W,202301000127926
2023-09-26 11:55:14,T013,SPT120018W,202302000080052
2023-09-26 11:55:36,T012,SPT120018W,202301000127927
2023-09-26 11:56:21,T012,SPT120018W,202301000127927
2023-09-26 11:56:35,T013,SPT120018W,202302000080053
2023-09-26 11:57:06,T012,SPT120018W,202301000127928
2023-09-26 11:57:58,T013,SPT120018W,202302000080054
2023-09-26 11:57:59,T012,SPT120018W,202301000127929
2023-09-26 11:59:23,T013,SPT120018W,202302000080055
2023-09-26 11:59:59,T012,SPT120018W,202301000127930
2023-09-26 12:00:33,T013,SPT120018W,202302000080055
2023-09-26 12:00:52,T012,SPT120018W,202301000127931
2023-09-26 12:01:43,T012,SPT120018W,202301000127932
2023-09-26 12:02:28,T013,SPT120018W,202302000080056
2023-09-26 12:03:08,T013,SPT120018W,202302000080056
2023-09-26 12:03:55,T012,SPT120018W,202301000127933
2023-09-26 12:04:57,T013,SPT120018W,202302000080057
2023-09-26 12:05:10,T012,SPT120018W,202301000127934
2023-09-26 12:06:09,T013,SPT120018W,202302000080058
2023-09-26 12:07:04,T012,SPT120018W,202301000127935
2023-09-26 12:07:22,T013,SPT120018W,202302000080059
2023-09-26 12:08:03,T012,SPT120018W,202301000127936
2023-09-26 12:09:07,T013,SPT120018W,202302000080060
2023-09-26 12:09:24,T012,SPT120018W,202301000127937
2023-09-26 12:10:24,T012,SPT120018W,202301000127938
2023-09-26 12:11:50,T012,SPT120018W,202301000127939
2023-09-26 12:11:52,T013,SPT120018W,202302000080061
2023-09-26 12:13:41,T012,SPT120018W,202301000127940
2023-09-26 12:13:51,T013,SPT120018W,202302000080062
2023-09-26 12:14:24,T012,SPT120018W,202301000127941
2023-09-26 12:15:12,T012,SPT120018W,202301000127942
2023-09-26 12:15:28,T013,SPT120018W,202302000080063
2023-09-26 12:16:06,T012,SPT120018W,202301000127943
2023-09-26 12:16:37,T013,SPT120018W,202302000080064
2023-09-26 12:17:03,T012,SPT120018W,202301000127943
2023-09-26 12:17:53,T012,SPT120018W,202301000127944
2023-09-26 12:17:57,T013,SPT120018W,202302000080065
2023-09-26 12:19:18,T012,SPT120018W,202301000127945
2023-09-26 12:19:30,T013,SPT120018W,202302000080066
2023-09-26 12:20:09,T012,SPT120018W,202301000127946
2023-09-26 12:20:53,T013,SPT120018W,202302000080067
2023-09-26 12:21:14,T012,SPT120018W,202301000127947
2023-09-26 12:22:23,T012,SPT120018W,202301000127948
2023-09-26 12:22:43,T013,SPT120018W,202302000080068
2023-09-26 12:23:41,T012,SPT120018W,202301000127949
2023-09-26 12:24:33,T013,SPT120018W,202302000080069
2023-09-26 12:24:34,T012,SPT120018W,202301000127949
2023-09-26 12:25:21,T012,SPT120018W,202301000127950
2023-09-26 12:26:18,T012,SPT120018W,202301000127951
2023-09-26 12:26:43,T013,SPT120018W,202302000080070
2023-09-26 12:27:28,T012,SPT120018W,202301000127952
2023-09-26 12:27:54,T013,SPT120018W,202302000080071
2023-09-26 12:29:35,T012,SPT120018W,202301000127953
2023-09-26 12:29:41,T013,SPT120018W,202302000080072
2023-09-26 12:30:36,T012,SPT120018W,202301000127954
2023-09-26 12:30:49,T013,SPT120018W,202302000080073
2023-09-26 12:31:38,T012,SPT120018W,202301000127955
2023-09-26 12:32:28,T013,SPT120018W,202302000080074
2023-09-26 12:33:13,T012,SPT120018W,202301000127956
2023-09-26 12:34:03,T013,SPT120018W,202302000080075
2023-09-26 12:34:28,T012,SPT120018W,202301000127957
2023-09-26 12:35:25,T013,SPT120018W,202302000080076
2023-09-26 12:35:31,T012,SPT120018W,202301000127957
2023-09-26 12:36:36,T013,SPT120018W,202302000080077
2023-09-26 12:36:50,T012,SPT120018W,202301000127958
2023-09-26 12:37:37,T012,SPT120018W,202301000127959
2023-09-26 12:38:00,T013,SPT120018W,202302000080078
2023-09-26 12:38:17,T012,SPT120018W,202301000127959
2023-09-26 12:39:03,T012,SPT120018W,202301000127960
2023-09-26 12:39:34,T013,SPT120018W,202302000080079
2023-09-26 12:40:29,T012,SPT120018W,202301000127961
2023-09-26 12:40:41,T013,SPT120018W,202302000080080
2023-09-26 12:41:17,T012,SPT120018W,202301000127962
2023-09-26 12:42:07,T013,SPT120018W,202302000080081
2023-09-26 12:42:27,T012,SPT120018W,202301000127963
2023-09-26 12:43:25,T013,SPT120018W,202302000080082
2023-09-26 12:43:38,T012,SPT120018W,202301000127964
2023-09-26 12:44:58,T012,SPT120018W,202301000127965
2023-09-26 12:45:47,T013,SPT120018W,202302000080083
2023-09-26 12:45:56,T012,SPT120018W,202301000127966
2023-09-26 12:47:01,T013,SPT120018W,202302000080084
2023-09-26 12:48:06,T013,SPT120018W,202302000080085
2023-09-26 12:48:24,T012,SPT120018W,202301000127967
2023-09-26 12:49:07,T013,SPT120018W,202302000080086
2023-09-26 12:49:21,T012,SPT120018W,202301000127968
2023-09-26 12:50:47,T012,SPT120018W,202301000127969
2023-09-26 12:50:59,T013,SPT120018W,202302000080087
2023-09-26 12:52:04,T012,SPT120018W,202301000127970
2023-09-26 12:52:11,T013,SPT120018W,202302000080088
2023-09-26 12:53:10,T012,SPT120018W,202301000127971
2023-09-26 12:53:58,T013,SPT120018W,202302000080089
2023-09-26 12:54:45,T012,SPT120018W,202301000127972
2023-09-26 12:55:33,T013,SPT120018W,202302000080090
2023-09-26 12:55:46,T012,SPT120018W,202301000127973
2023-09-26 12:56:38,T013,SPT120018W,202302000080091
2023-09-26 12:56:56,T012,SPT120018W,202301000127974
2023-09-26 12:57:45,T013,SPT120018W,202302000080092
2023-09-26 13:59:28,T012,SPT120018W,202301000127975
2023-09-26 14:01:37,T014,OCTAN-40,202302000080001
2023-09-26 14:02:08,T012,SPT120018W,202301000127975
2023-09-26 14:03:11,T012,SPT120018W,202301000127976
2023-09-26 14:04:11,T014,OCTAN-40,202302000080002
2023-09-26 14:04:23,T012,SPT120018W,202301000127971
2023-09-26 14:05:35,T012,SPT120018W,202301000127977
2023-09-26 14:06:38,T014,OCTAN-40,202302000080003
2023-09-26 14:06:47,T012,SPT120018W,202301000127978
2023-09-26 14:08:39,T012,SPT120018W,202301000127979
2023-09-26 14:08:58,T014,OCTAN-40,202302000080004
2023-09-26 14:10:06,T012,SPT120018W,202301000127980
2023-09-26 14:11:11,T012,SPT120018W,202301000127981
2023-09-26 14:11:16,T014,OCTAN-40,202302000080005
2023-09-26 14:12:57,T012,SPT120018W,202301000127982
2023-09-26 14:13:44,T014,OCTAN-40,202302000080006
2023-09-26 14:13:49,T012,SPT120018W,202301000127983
2023-09-26 14:14:47,T012,SPT120018W,202301000127984
2023-09-26 14:16:05,T012,SPT120018W,202301000127985
2023-09-26 14:16:58,T014,OCTAN-40,202302000080007
2023-09-26 14:17:36,T012,SPT120018W,202301000127986
2023-09-26 14:18:29,T014,OCTAN-40,202302000080007
2023-09-26 14:18:54,T012,SPT120018W,202301000127987
2023-09-26 14:20:04,T014,OCTAN-40,202302000080008
2023-09-26 14:20:14,T012,SPT120018W,202301000127988
2023-09-26 14:21:27,T012,SPT120018W,202301000127989
2023-09-26 14:22:14,T014,OCTAN-40,202302000080009
2023-09-26 14:22:50,T012,SPT120018W,202301000127990
2023-09-26 14:24:14,T012,SPT120018W,202301000127991
2023-09-26 14:24:53,T014,OCTAN-40,202302000080010
2023-09-26 14:25:26,T012,SPT120018W,202301000127992
2023-09-26 14:26:30,T012,SPT120018W,202301000127993
2023-09-26 14:26:51,T014,OCTAN-40,202302000080007
2023-09-26 14:27:28,T012,SPT120018W,202301000127994
2023-09-26 14:27:42,T014,OCTAN-40,202302000080007
2023-09-26 14:28:34,T012,SPT120018W,202301000127995
2023-09-26 14:29:05,T014,OCTAN-40,202302000080011
2023-09-26 14:29:51,T014,OCTAN-40,202302000080011
2023-09-26 14:29:56,T012,SPT120018W,202301000127996
2023-09-26 14:30:45,T014,OCTAN-40,202302000080011
2023-09-26 14:31:12,T012,SPT120018W,202301000127997
2023-09-26 14:32:32,T014,OCTAN-40,202302000080012
2023-09-26 14:32:54,T012,SPT120018W,202301000127998
2023-09-26 14:33:52,T012,SPT120018W,202301000127999
2023-09-26 14:34:41,T014,OCTAN-40,202302000080013
2023-09-26 14:35:44,T012,SPT120018W,202301000128000
2023-09-26 14:36:53,T014,OCTAN-40,202302000080014
2023-09-26 14:37:06,T012,SPT120018W,202301000128001
2023-09-26 14:38:20,T012,SPT120018W,202301000128002
2023-09-26 14:39:03,T014,OCTAN-40,202302000080015
2023-09-26 14:39:20,T012,SPT120018W,202301000128003
2023-09-26 14:40:23,T012,SPT120018W,202301000128004
2023-09-26 14:41:30,T014,OCTAN-40,202302000080016
2023-09-26 14:41:35,T012,SPT120018W,202301000128005
2023-09-26 14:43:08,T012,SPT120018W,202301000128006
2023-09-26 14:44:00,T012,SPT120018W,202301000128007
2023-09-26 14:44:28,T014,OCTAN-40,202302000080007
2023-09-26 14:45:16,T012,SPT120018W,202301000128008
2023-09-26 14:45:58,T014,OCTAN-40,202302000080011
2023-09-26 14:47:00,T012,SPT120018W,202301000128009
2023-09-26 14:47:59,T012,SPT120018W,202301000128010
2023-09-26 14:48:05,T014,OCTAN-40,202302000080007
2023-09-26 14:49:01,T012,SPT120018W,202301000128011
2023-09-26 14:49:06,T014,OCTAN-40,202302000080007
2023-09-26 14:50:12,T012,SPT120018W,202301000128012
2023-09-26 14:50:35,T014,OCTAN-40,202302000080007
2023-09-26 14:51:33,T012,SPT120018W,202301000128013
2023-09-26 14:51:38,T014,OCTAN-40,202302000080007
2023-09-26 14:52:28,T012,SPT120018W,202301000128014
2023-09-26 14:53:55,T012,SPT120018W,202301000128019
2023-09-26 14:54:59,T012,SPT120018W,202301000128015
2023-09-26 14:56:06,T012,SPT120018W,202301000128016
2023-09-26 14:57:03,T012,SPT120018W,202301000128017
2023-09-26 14:58:49,T012,SPT120018W,202301000128018
2023-09-26 15:00:19,T012,SPT120018W,202301000128020
2023-09-26 15:01:00,T012,SPT120018W,202301000128020
2023-09-26 15:01:53,T012,SPT120018W,202301000128021
2023-09-26 15:02:46,T012,SPT120018W,202301000128022
2023-09-26 15:03:55,T012,SPT120018W,202301000128023
2023-09-26 15:05:13,T012,SPT120018W,202301000128024
2023-09-26 15:06:38,T012,SPT120018W,202301000128025
2023-09-26 15:07:34,T012,SPT120018W,202301000128026
2023-09-26 15:08:46,T012,SPT120018W,202301000128027
2023-09-26 15:09:46,T012,SPT120018W,202301000128028
2023-09-26 15:11:03,T012,SPT120018W,202301000128029
2023-09-26 15:12:13,T012,SPT120018W,202301000128030
2023-09-26 15:13:23,T012,SPT120018W,202301000128031
2023-09-26 15:15:14,T012,SPT120018W,202301000128032
2023-09-26 15:16:06,T012,SPT120018W,202301000128033
2023-09-26 15:17:51,T012,SPT120018W,202301000128034
2023-09-26 15:18:43,T012,SPT120018W,202301000128035
2023-09-26 15:19:51,T012,SPT120018W,202301000128036
2023-09-26 15:21:10,T012,SPT120018W,202301000128037
2023-09-26 15:22:28,T012,SPT120018W,202301000128038
2023-09-26 15:23:37,T012,SPT120018W,202301000128039
2023-09-26 15:25:06,T012,SPT120018W,202301000128040
2023-09-26 15:25:56,T012,SPT120018W,202301000128041
2023-09-26 15:27:10,T012,SPT120018W,202301000128042
2023-09-26 15:28:34,T012,SPT120018W,202301000128043
2023-09-26 15:30:15,T012,SPT120018W,202301000128044
2023-09-26 15:31:37,T012,SPT120018W,202301000128045
2023-09-26 15:32:08,T013,SPT120018W,202302000080093
2023-09-26 15:32:56,T012,SPT120018W,202301000128046
2023-09-26 15:33:19,T013,SPT120018W,202302000080094
2023-09-26 15:34:03,T012,SPT120018W,202301000128047
2023-09-26 15:34:31,T013,SPT120018W,202302000080095
2023-09-26 15:35:23,T012,SPT120018W,202301000128048
2023-09-26 15:35:57,T013,SPT120018W,202302000080096
2023-09-26 15:36:28,T012,SPT120018W,202301000128049
2023-09-26 15:37:04,T012,SPT120018W,202301000128049
2023-09-26 15:37:23,T013,SPT120018W,202302000080097
2023-09-26 15:37:49,T012,SPT120018W,202301000128050
2023-09-26 15:39:05,T013,SPT120018W,202302000080098
2023-09-26 15:39:15,T012,SPT120018W,202301000128051
2023-09-26 15:40:07,T013,SPT120018W,202302000080099
2023-09-26 15:40:18,T012,SPT120018W,202301000128052
2023-09-26 15:41:09,T013,SPT120018W,202302000080100
2023-09-26 15:41:26,T012,SPT120018W,202301000128053
2023-09-26 15:42:32,T012,SPT120018W,202301000128054
2023-09-26 15:42:42,T013,SPT120018W,202302000080101
2023-09-26 15:43:36,T012,SPT120018W,202301000128055
2023-09-26 15:44:14,T012,SPT120018W,202301000128055
2023-09-26 15:44:19,T013,SPT120018W,202302000080102
2023-09-26 15:45:01,T012,SPT120018W,202301000128056
2023-09-26 15:45:47,T013,SPT120018W,202302000080103
2023-09-26 15:46:01,T012,SPT120018W,202301000128057
2023-09-26 15:47:01,T013,SPT120018W,202302000080104
2023-09-26 15:47:21,T012,SPT120018W,202301000128058
2023-09-26 15:48:07,T013,SPT120018W,202302000080105
2023-09-26 15:48:08,T012,SPT120018W,202301000128059
2023-09-26 15:49:12,T012,SPT120018W,202301000128061
2023-09-26 15:49:28,T013,SPT120018W,202302000080106
2023-09-26 15:49:51,T012,SPT120018W,202301000128061
2023-09-26 15:50:42,T012,SPT120018W,202301000128060
2023-09-26 15:51:12,T013,SPT120018W,202302000080107
2023-09-26 15:51:50,T012,SPT120018W,202301000128062
2023-09-26 15:53:13,T012,SPT120018W,202301000128063
2023-09-26 15:54:28,T012,SPT120018W,202301000128064
2023-09-26 15:55:26,T013,SPT120018W,202302000080108
2023-09-26 15:56:23,T013,SPT120018W,202302000080109
2023-09-26 15:57:31,T013,SPT120018W,202302000080110
2023-09-26 15:57:59,T012,SPT120018W,202301000128065
2023-09-26 15:58:40,T013,SPT120018W,202302000080111
2023-09-26 15:58:56,T012,SPT120018W,202301000128063
2023-09-26 16:00:04,T013,SPT120018W,202302000080112
2023-09-26 16:00:23,T012,SPT120018W,202301000128066
2023-09-26 16:01:13,T012,SPT120018W,202301000128067
2023-09-26 16:01:18,T013,SPT120018W,202302000080113
2023-09-26 16:02:11,T012,SPT120018W,202301000128068
2023-09-26 16:02:47,T012,SPT120018W,202301000128068
2023-09-26 16:02:58,T013,SPT120018W,202302000080114
2023-09-26 16:03:34,T012,SPT120018W,202301000128069
2023-09-26 16:04:11,T013,SPT120018W,202302000080115
2023-09-26 16:05:38,T012,SPT120018W,202301000128070
2023-09-26 16:05:39,T013,SPT120018W,202302000080116
2023-09-26 16:06:26,T012,SPT120018W,202301000128071
2023-09-26 16:07:02,T013,SPT120018W,202302000080117
2023-09-26 16:07:25,T012,SPT120018W,202301000128072
2023-09-26 16:08:15,T012,SPT120018W,202301000128072
2023-09-26 16:09:06,T013,SPT120018W,202302000080118
2023-09-26 16:10:14,T012,SPT120018W,202301000128073
2023-09-26 16:11:01,T012,SPT120018W,202301000128074
