,ts,gabarit
226,2023-10-02 15:02:04,22
225,2023-10-02 15:02:09,0
224,2023-10-02 15:06:20,21
223,2023-10-02 15:06:24,21
222,2023-10-02 15:06:29,0
221,2023-10-02 15:06:33,21
220,2023-10-02 15:06:38,0
219,2023-10-02 15:07:44,24
218,2023-10-02 15:07:46,24
217,2023-10-02 15:07:48,24
216,2023-10-02 15:07:50,24
215,2023-10-02 15:07:52,24
214,2023-10-02 15:07:54,24
213,2023-10-02 15:07:56,24
212,2023-10-02 15:08:01,0
211,2023-10-02 15:08:24,24
210,2023-10-02 15:08:29,0
209,2023-10-02 15:08:30,24
208,2023-10-02 15:08:32,24
207,2023-10-02 15:08:34,24
206,2023-10-02 15:08:36,24
205,2023-10-02 15:08:38,24
204,2023-10-02 15:08:40,24
203,2023-10-02 15:08:42,24
202,2023-10-02 15:08:44,24
201,2023-10-02 15:08:49,0
200,2023-10-02 15:09:58,7
199,2023-10-02 15:10:03,0
198,2023-10-02 15:12:14,17
197,2023-10-02 15:12:19,0
196,2023-10-02 15:15:24,15
195,2023-10-02 15:15:30,0
194,2023-10-02 15:17:04,19
193,2023-10-02 15:17:09,0
192,2023-10-02 15:19:45,8
191,2023-10-02 15:19:50,0
190,2023-10-02 15:20:32,8
189,2023-10-02 15:20:37,0
188,2023-10-02 15:23:25,24
187,2023-10-02 15:23:30,0
186,2023-10-02 15:26:52,17
185,2023-10-02 15:26:57,0
184,2023-10-02 15:27:16,17
183,2023-10-02 15:27:21,0
182,2023-10-02 15:27:27,17
181,2023-10-02 15:27:32,0
180,2023-10-02 15:27:52,15
179,2023-10-02 15:27:57,0
178,2023-10-02 15:28:20,15
177,2023-10-02 15:28:25,0
176,2023-10-02 15:28:32,15
175,2023-10-02 15:28:37,0
174,2023-10-02 15:29:30,19
173,2023-10-02 15:29:35,0
172,2023-10-02 15:30:00,19
171,2023-10-02 15:30:02,19
170,2023-10-02 15:30:04,19
169,2023-10-02 15:30:06,19
168,2023-10-02 15:30:08,19
167,2023-10-02 15:30:10,19
166,2023-10-02 15:30:15,0
165,2023-10-02 15:31:50,9
164,2023-10-02 15:31:55,0
163,2023-10-02 15:34:42,8
162,2023-10-02 15:34:44,8
161,2023-10-02 15:34:49,0
160,2023-10-02 15:35:15,8
159,2023-10-02 15:35:17,8
158,2023-10-02 15:35:22,0
157,2023-10-02 15:37:23,24
156,2023-10-02 15:37:28,0
155,2023-10-02 15:38:09,24
154,2023-10-02 15:38:13,24
153,2023-10-02 15:38:16,24
152,2023-10-02 15:38:18,24
151,2023-10-02 15:38:23,0
150,2023-10-02 15:38:24,24
149,2023-10-02 15:38:27,24
148,2023-10-02 15:38:32,0
147,2023-10-02 15:38:34,24
146,2023-10-02 15:38:39,0
145,2023-10-02 15:41:54,17
144,2023-10-02 15:41:59,0
143,2023-10-02 15:44:22,15
142,2023-10-02 15:44:27,0
141,2023-10-02 15:51:30,9
140,2023-10-02 15:51:35,0
139,2023-10-02 15:52:01,9
138,2023-10-02 15:52:06,0
137,2023-10-02 15:57:59,0
136,2023-10-02 15:58:46,24
135,2023-10-02 15:58:51,0
134,2023-10-02 15:59:16,24
133,2023-10-02 15:59:21,0
132,2023-10-02 16:00:48,10
131,2023-10-02 16:00:53,0
130,2023-10-02 16:03:49,17
129,2023-10-02 16:03:54,0
128,2023-10-02 16:04:35,15
127,2023-10-02 16:04:37,15
126,2023-10-02 16:04:39,15
125,2023-10-02 16:04:44,0
124,2023-10-02 16:08:49,0
123,2023-10-02 16:09:48,19
122,2023-10-02 16:09:53,0
121,2023-10-02 16:10:17,19
120,2023-10-02 16:10:22,0
119,2023-10-02 16:12:20,1
118,2023-10-02 16:12:25,0
117,2023-10-02 16:12:55,1
116,2023-10-02 16:13:00,0
115,2023-10-02 16:14:50,10
114,2023-10-02 16:14:55,0
113,2023-10-02 16:15:22,0
112,2023-10-02 16:15:32,10
111,2023-10-02 16:15:37,0
110,2023-10-02 16:17:36,15
109,2023-10-02 16:17:41,0
108,2023-10-02 16:22:41,9
107,2023-10-02 16:22:46,0
106,2023-10-02 16:23:42,19
105,2023-10-02 16:23:47,0
104,2023-10-02 16:28:43,8
103,2023-10-02 16:28:45,8
102,2023-10-02 16:28:50,0
101,2023-10-02 16:28:55,8
100,2023-10-02 16:29:00,0
99,2023-10-02 16:29:01,1
98,2023-10-02 16:29:06,0
97,2023-10-02 16:29:45,1
96,2023-10-02 16:29:47,1
95,2023-10-02 16:29:52,0
94,2023-10-02 16:47:54,10
93,2023-10-02 16:47:59,0
92,2023-10-02 16:53:05,24
91,2023-10-02 16:53:10,0
90,2023-10-02 16:53:29,24
89,2023-10-02 16:53:34,0
88,2023-10-02 16:53:40,24
87,2023-10-02 16:53:45,0
86,2023-10-02 16:53:51,3
85,2023-10-02 16:53:56,0
84,2023-10-02 16:56:41,9
83,2023-10-02 16:56:46,0
82,2023-10-02 16:58:01,19
81,2023-10-02 16:58:06,0
80,2023-10-02 16:58:34,19
79,2023-10-02 16:58:36,19
78,2023-10-02 16:58:38,19
77,2023-10-02 16:58:40,19
76,2023-10-02 16:58:42,19
75,2023-10-02 16:58:44,19
74,2023-10-02 16:58:46,19
73,2023-10-02 16:58:51,0
72,2023-10-02 17:03:21,0
71,2023-10-02 17:03:57,5
70,2023-10-02 17:04:02,0
69,2023-10-02 17:05:29,10
68,2023-10-02 17:05:34,0
67,2023-10-02 17:05:53,10
66,2023-10-02 17:05:58,0
65,2023-10-02 17:06:03,10
64,2023-10-02 17:06:08,0
63,2023-10-02 17:09:31,24
62,2023-10-02 17:09:36,0
61,2023-10-02 17:09:56,24
60,2023-10-02 17:10:01,0
59,2023-10-02 17:10:10,24
58,2023-10-02 17:10:14,3
57,2023-10-02 17:10:19,0
56,2023-10-02 17:11:10,0
55,2023-10-02 17:11:14,3
54,2023-10-02 17:11:19,0
53,2023-10-02 17:12:11,9
52,2023-10-02 17:12:16,0
51,2023-10-02 17:12:43,9
50,2023-10-02 17:12:46,9
49,2023-10-02 17:12:48,9
48,2023-10-02 17:12:50,9
47,2023-10-02 17:12:52,9
46,2023-10-02 17:12:57,0
45,2023-10-02 17:17:24,1
44,2023-10-02 17:17:29,0
43,2023-10-02 17:17:54,1
42,2023-10-02 17:17:56,1
41,2023-10-02 17:17:58,1
40,2023-10-02 17:18:00,1
39,2023-10-02 17:18:05,0
38,2023-10-02 17:19:19,5
37,2023-10-02 17:19:24,0
36,2023-10-02 17:19:47,5
35,2023-10-02 17:19:52,0
34,2023-10-02 17:20:14,5
33,2023-10-02 17:20:19,0
32,2023-10-02 17:20:28,5
31,2023-10-02 17:20:34,0
30,2023-10-02 17:23:28,0
29,2023-10-02 17:23:42,10
28,2023-10-02 17:23:44,10
27,2023-10-02 17:23:46,10
26,2023-10-02 17:23:48,10
25,2023-10-02 17:23:50,10
24,2023-10-02 17:23:52,10
23,2023-10-02 17:23:57,0
22,2023-10-02 17:30:03,9
21,2023-10-02 17:30:08,0
20,2023-10-02 17:34:44,17
19,2023-10-02 17:34:49,0
18,2023-10-02 17:41:25,0
17,2023-10-02 17:42:20,12
16,2023-10-02 17:42:25,0
15,2023-10-02 17:42:51,12
14,2023-10-02 17:42:56,0
13,2023-10-02 17:43:09,12
12,2023-10-02 17:43:14,0
11,2023-10-02 17:52:53,19
10,2023-10-02 17:52:58,0
9,2023-10-02 17:56:42,1
8,2023-10-02 17:56:44,1
7,2023-10-02 17:56:49,0
6,2023-10-02 17:57:14,1
5,2023-10-02 17:57:16,1
4,2023-10-02 17:57:21,0
3,2023-10-02 17:57:30,1
2,2023-10-02 17:57:35,0
1,2023-10-02 17:57:38,8
0,2023-10-02 17:57:43,0
